event_id,company_id,user_id,subscription_id,invoice_id,event_type,event_channel,event_description
EVT-0030489,COMP-032,USER-0828,SUB-03781,INV-003233,admin_action,web_app,"An individual contributor at EuroFlow Solutions (Starter plan, billed monthly) performed an admin action via the web app."
EVT-0048770,COMP-009,USER-0411,SUB-03446,INV-003697,feature_use,support,"A manager at LATAM Nexus (Scale plan tier, billed annually) utilized a feature via support."
EVT-0003583,COMP-036,USER-0947,SUB-03535,INV-005277,feature_use,mobile_app,"A viewer user at NexaSphere (Growth plan, billed annually) utilized a feature via the mobile app."
EVT-0014369,COMP-047,USER-0896,SUB-04502,INV-009736,login,api,"An admin user at Strategix (Starter plan, billed annually) logged in via API."
EVT-0030331,COMP-018,USER-0014,SUB-04520,INV-001002,signup,api,"User with role individual_contributor at LATAMNexus signed up via API for the Starter plan, billed monthly."
EVT-0047307,COMP-037,USER-0239,SUB-00579,INV-003798,billing_page_view,support,"Viewer role user at EnterpriseSphere (Growth plan, monthly billed) accessed the billing page via the support channel."
EVT-0022377,COMP-013,USER-0974,SUB-01827,INV-000087,feature_use,support,"An individual contributor at SMBlytics (Growth plan, billed annually) used a feature via support."
EVT-0021484,COMP-007,USER-0358,SUB-03908,INV-005198,feature_use,api,"PacificNexa Solutions' manager (Growth plan, billed annually) executed a 'feature_use' event via API."
EVT-0022133,COMP-028,USER-0250,SUB-04277,INV-006993,billing_page_view,support,"A manager at LATAMHub (Scale plan, billed monthly) viewed the billing page via the support channel."
EVT-0034436,COMP-045,USER-0410,SUB-00115,INV-000671,cancel_attempt,api,"An admin user at CatalystMidSolutions (Starter plan, annual billing) attempted a 'cancel_attempt' via API."
EVT-0025858,COMP-029,USER-0360,SUB-04135,INV-005439,admin_action,api,"A viewer user at ZenithEnterprise (Scale tier plan, monthly billing) executed an admin_action via API."
EVT-0041069,COMP-024,USER-0346,SUB-00324,INV-008039,admin_action,support,"An admin user at VertexAPAC (Starter plan, billed annually) performed an admin action via support."
EVT-0034721,COMP-019,USER-0003,SUB-01539,INV-002501,billing_page_view,support,"An individual contributor at NexaForge (Starter plan, billed monthly) accessed the billing page via the support channel, triggering a billing_page_view event."
EVT-0016064,COMP-046,USER-0508,SUB-01015,INV-007903,cancel_attempt,api,"A manager at NestHive (Growth plan, billed monthly) attempted a cancellation via API."
EVT-0035074,COMP-019,USER-0903,SUB-01725,INV-009442,feature_use,api,"Manager at APACNexus Technologies (Free plan, monthly billing) utilized a feature via API."
EVT-0026203,COMP-028,USER-0442,SUB-00236,INV-008355,signup,web_app,"Viewer at LATAMNexus (Scale plan, annual billing) signed up via web_app."
EVT-0031881,COMP-039,USER-0552,SUB-04894,INV-007851,login,mobile_app,"An admin user at LATAMVerve (Scale plan tier, billed monthly) logged in via the mobile app."
EVT-0006787,COMP-010,USER-0738,SUB-04872,INV-004084,login,mobile_app,"Admin user from SolTec SMB (Starter plan, annual billing) logged in via mobile_app."
EVT-0039167,COMP-023,USER-0613,SUB-02848,INV-001422,billing_page_view,web_app,"A manager at NubeGlobal Solutions (Scale plan, billed monthly) viewed the billing page via the web app."
